Iteration 109, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 6.64s
Iteration 110, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 6.71s
Iteration 111, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 6.76s
Iteration 112, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 6.81s
Iteration 113, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 6.88s
Iteration 114, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 6.93s
Iteration 115, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 6.99s
Iteration 116, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.04s
Iteration 117, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.09s
Iteration 118, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.16s
Iteration 119, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.22s
Iteration 120, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.28s
Iteration 121, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.33s
Iteration 122, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.38s
Iteration 123, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.45s
Iteration 124, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.50s
Iteration 125, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.55s
Iteration 126, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.62s
Iteration 127, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.67s
Iteration 128, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.74s
Iteration 129, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.79s
Iteration 130, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.84s
Iteration 131, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.90s
Iteration 132, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 7.95s
Iteration 133, Best Cost: 6734, Hard Conflicts: 0, Soft Conflicts: 6734, Time: 8.02s
Iteration 134, Best Cost: 6734, Hard Conflicts: 0, Soft Conflicts: 6734, Time: 8.07s
Iteration 135, Best Cost: 6734, Hard Conflicts: 0, Soft Conflicts: 6734, Time: 8.14s
Iteration 136, Best Cost: 6734, Hard Conflicts: 0, Soft Conflicts: 6734, Time: 8.19s
Iteration 137, Best Cost: 6734, Hard Conflicts: 0, Soft Conflicts: 6734, Time: 8.24s
Iteration 138, Best Cost: 6734, Hard Conflicts: 0, Soft Conflicts: 6734, Time: 8.31s
Iteration 139, Best Cost: 6734, Hard Conflicts: 0, Soft Conflicts: 6734, Time: 8.36s
Iteration 140, Best Cost: 6543, Hard Conflicts: 0, Soft Conflicts: 6543, Time: 8.43s
Iteration 141, Best Cost: 6543, Hard Conflicts: 0, Soft Conflicts: 6543, Time: 8.48s
Iteration 142, Best Cost: 6543, Hard Conflicts: 0, Soft Conflicts: 6543, Time: 8.53s
Iteration 143, Best Cost: 6245, Hard Conflicts: 0, Soft Conflicts: 6245, Time: 8.59s
Iteration 144, Best Cost: 6124, Hard Conflicts: 0, Soft Conflicts: 6124, Time: 8.65s
Iteration 145, Best Cost: 6124, Hard Conflicts: 0, Soft Conflicts: 6124, Time: 8.70s
Iteration 146, Best Cost: 6124, Hard Conflicts: 0, Soft Conflicts: 6124, Time: 8.76s
Iteration 147, Best Cost: 6124, Hard Conflicts: 0, Soft Conflicts: 6124, Time: 8.82s
Iteration 148, Best Cost: 6124, Hard Conflicts: 0, Soft Conflicts: 6124, Time: 8.88s
Iteration 149, Best Cost: 6124, Hard Conflicts: 0, Soft Conflicts: 6124, Time: 8.93s
Iteration 150, Best Cost: 6124, Hard Conflicts: 0, Soft Conflicts: 6124, Time: 8.98s
Iteration 151, Best Cost: 6124, Hard Conflicts: 0, Soft Conflicts: 6124, Time: 9.05s
Iteration 152, Best Cost: 6124, Hard Conflicts: 0, Soft Conflicts: 6124, Time: 9.10s
Iteration 153, Best Cost: 6124, Hard Conflicts: 0, Soft Conflicts: 6124, Time: 9.15s
Iteration 154, Best Cost: 6124, Hard Conflicts: 0, Soft Conflicts: 6124, Time: 9.22s
Iteration 155, Best Cost: 6016, Hard Conflicts: 0, Soft Conflicts: 6016, Time: 9.27s
Iteration 156, Best Cost: 6016, Hard Conflicts: 0, Soft Conflicts: 6016, Time: 9.34s
Iteration 157, Best Cost: 6016, Hard Conflicts: 0, Soft Conflicts: 6016, Time: 9.39s
