Iter=2580, currentCost=3483, Hard Conflicts: 0, Soft Conflicts: 3483, Best Cost: 3483, Time: 3.94s
Iter=2719, currentCost=3472, Hard Conflicts: 0, Soft Conflicts: 3472, Best Cost: 3472, Time: 4.14s
Iter=3112, currentCost=3434, Hard Conflicts: 0, Soft Conflicts: 3434, Best Cost: 3434, Time: 4.73s
Iter=3614, currentCost=3268, Hard Conflicts: 0, Soft Conflicts: 3268, Best Cost: 3268, Time: 5.43s
Iter=3730, currentCost=3267, Hard Conflicts: 0, Soft Conflicts: 3267, Best Cost: 3267, Time: 5.58s
Iter=3766, currentCost=3179, Hard Conflicts: 0, Soft Conflicts: 3179, Best Cost: 3179, Time: 5.64s
Iter=3805, currentCost=3157, Hard Conflicts: 0, Soft Conflicts: 3157, Best Cost: 3157, Time: 5.70s
Iter=3878, currentCost=3124, Hard Conflicts: 0, Soft Conflicts: 3124, Best Cost: 3124, Time: 5.80s
Iter=3985, currentCost=3112, Hard Conflicts: 0, Soft Conflicts: 3112, Best Cost: 3112, Time: 5.96s
Iter=4356, currentCost=3064, Hard Conflicts: 0, Soft Conflicts: 3064, Best Cost: 3064, Time: 6.50s
Iter=4493, currentCost=3053, Hard Conflicts: 0, Soft Conflicts: 3053, Best Cost: 3053, Time: 6.71s
Iter=4564, currentCost=3023, Hard Conflicts: 0, Soft Conflicts: 3023, Best Cost: 3023, Time: 6.82s
Iter=4669, currentCost=3008, Hard Conflicts: 0, Soft Conflicts: 3008, Best Cost: 3008, Time: 6.99s
Iter=4932, currentCost=2997, Hard Conflicts: 0, Soft Conflicts: 2997, Best Cost: 2997, Time: 7.40s
Iter=5155, currentCost=2993, Hard Conflicts: 0, Soft Conflicts: 2993, Best Cost: 2993, Time: 7.76s
Iter=5471, currentCost=2953, Hard Conflicts: 0, Soft Conflicts: 2953, Best Cost: 2953, Time: 8.21s
Iter=5505, currentCost=2947, Hard Conflicts: 0, Soft Conflicts: 2947, Best Cost: 2947, Time: 8.25s
Iter=5794, currentCost=2903, Hard Conflicts: 0, Soft Conflicts: 2903, Best Cost: 2903, Time: 8.66s
Iter=6105, currentCost=2885, Hard Conflicts: 0, Soft Conflicts: 2885, Best Cost: 2885, Time: 9.14s
Iter=6530, currentCost=2863, Hard Conflicts: 0, Soft Conflicts: 2863, Best Cost: 2863, Time: 9.74s
Iter=7467, currentCost=2821, Hard Conflicts: 0, Soft Conflicts: 2821, Best Cost: 2821, Time: 11.17s
Iter=9119, currentCost=2797, Hard Conflicts: 0, Soft Conflicts: 2797, Best Cost: 2797, Time: 13.55s
Iter=9811, currentCost=2722, Hard Conflicts: 0, Soft Conflicts: 2722, Best Cost: 2722, Time: 14.56s
Iter=10060, currentCost=2698, Hard Conflicts: 0, Soft Conflicts: 2698, Best Cost: 2698, Time: 14.94s
Iter=10136, currentCost=2692, Hard Conflicts: 0, Soft Conflicts: 2692, Best Cost: 2692, Time: 15.04s
Iter=10221, currentCost=2686, Hard Conflicts: 0, Soft Conflicts: 2686, Best Cost: 2686, Time: 15.16s
Iter=12337, currentCost=2565, Hard Conflicts: 0, Soft Conflicts: 2565, Best Cost: 2565, Time: 18.28s
Iter=12412, currentCost=2535, Hard Conflicts: 0, Soft Conflicts: 2535, Best Cost: 2535, Time: 18.40s
Iter=13817, currentCost=2519, Hard Conflicts: 0, Soft Conflicts: 2519, Best Cost: 2519, Time: 20.38s
Iter=14660, currentCost=2513, Hard Conflicts: 0, Soft Conflicts: 2513, Best Cost: 2513, Time: 21.63s
Iter=17250, currentCost=2491, Hard Conflicts: 0, Soft Conflicts: 2491, Best Cost: 2491, Time: 25.59s
Iter=17886, currentCost=2469, Hard Conflicts: 0, Soft Conflicts: 2469, Best Cost: 2469, Time: 26.57s
Iter=17916, currentCost=2447, Hard Conflicts: 0, Soft Conflicts: 2447, Best Cost: 2447, Time: 26.63s
Iter=17927, currentCost=2414, Hard Conflicts: 0, Soft Conflicts: 2414, Best Cost: 2414, Time: 26.64s
Iter=18130, currentCost=2391, Hard Conflicts: 0, Soft Conflicts: 2391, Best Cost: 2391, Time: 26.96s
Iter=18595, currentCost=2294, Hard Conflicts: 0, Soft Conflicts: 2294, Best Cost: 2294, Time: 27.64s
Iter=18658, currentCost=2282, Hard Conflicts: 0, Soft Conflicts: 2282, Best Cost: 2282, Time: 27.73s
Iter=18787, currentCost=2276, Hard Conflicts: 0, Soft Conflicts: 2276, Best Cost: 2276, Time: 27.92s
Iter=19321, currentCost=2231, Hard Conflicts: 0, Soft Conflicts: 2231, Best Cost: 2231, Time: 28.71s
Iter=19396, currentCost=2209, Hard Conflicts: 0, Soft Conflicts: 2209, Best Cost: 2209, Time: 28.82s
Iter=20332, currentCost=2161, Hard Conflicts: 0, Soft Conflicts: 2161, Best Cost: 2161, Time: 30.23s
Iter=21119, currentCost=2150, Hard Conflicts: 0, Soft Conflicts: 2150, Best Cost: 2150, Time: 31.39s
Iter=22409, currentCost=2144, Hard Conflicts: 0, Soft Conflicts: 2144, Best Cost: 2144, Time: 33.22s
Iter=23481, currentCost=2142, Hard Conflicts: 0, Soft Conflicts: 2142, Best Cost: 2142, Time: 34.76s
Iter=23804, currentCost=2109, Hard Conflicts: 0, Soft Conflicts: 2109, Best Cost: 2109, Time: 35.22s
Iter=24333, currentCost=2092, Hard Conflicts: 0, Soft Conflicts: 2092, Best Cost: 2092, Time: 35.98s
Iter=24391, currentCost=2078, Hard Conflicts: 0, Soft Conflicts: 2078, Best Cost: 2078, Time: 36.05s
Iter=24654, currentCost=2067, Hard Conflicts: 0, Soft Conflicts: 2067, Best Cost: 2067, Time: 36.44s
Iter=26479, currentCost=2056, Hard Conflicts: 0, Soft Conflicts: 2056, Best Cost: 2056, Time: 39.05s
Iter=26482, currentCost=2051, Hard Conflicts: 0, Soft Conflicts: 2051, Best Cost: 2051, Time: 39.05s
Iter=28745, currentCost=1996, Hard Conflicts: 0, Soft Conflicts: 1996, Best Cost: 1996, Time: 42.31s
Iter=29990, currentCost=1965, Hard Conflicts: 0, Soft Conflicts: 1965, Best Cost: 1965, Time: 44.09s
Iter=31285, currentCost=1954, Hard Conflicts: 0, Soft Conflicts: 1954, Best Cost: 1954, Time: 45.95s
Iter=34168, currentCost=1866, Hard Conflicts: 0, Soft Conflicts: 1866, Best Cost: 1866, Time: 50.18s
Iter=35851, currentCost=1856, Hard Conflicts: 0, Soft Conflicts: 1856, Best Cost: 1856, Time: 52.72s
